!
! This datafile is a successor of the Dataset 24.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 Low Ep : 460, 575 GeV'    
   NData =  136                        ! Number of data points
   NColumn =  16                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',12*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat', 'uncor', 'ignore',
                'H1_low_ep_sp_Source_1','H1_low_ep_sp_Source_2','H1_low_ep_sp_Source_3','H1_low_ep_sp_Source_4',
                'H1_low_ep_sp_Source_5','H1_low_ep_sp_Source_6','H1_low_ep_sp_Source_7','H1_low_ep_sp_Source_8','HERA_BH_corlum'

   NInfo    = 4
   DataInfo =  252.,	+1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 66

   Reaction = 'NC e+-p'          

!   SystematicType = 'stat', 'uncor', 'ignore','h1_low_ep_sp_1','h1_low_ep_sp_2','h1_low_ep_sp_3','h1_low_ep_sp_4','h1_low_ep_sp_5','h1_low_ep_sp_6','h1_low_ep_sp_7','h1_low_ep_sp_8','corlum'

   Percent = 3*false, 9*true

&END
0.3480000E-04 0.1500000E+01 0.8503008E+00 0.5211089E+00 0.4214555E-01 0.2584716E-01 0.5494925E-01 1.5992 3.0795 1.2992 -1.7480 1.9597 -0.4633 0.4744 -0.3363 0.5
0.4640000E-04 0.2000000E+01 0.8503008E+00 0.7072232E+00 0.3225768E-01 0.3048149E-01 0.5250138E-01 1.0784 2.0767 1.2906 -1.7857 1.9397 -0.0139 1.2342 -0.3364 0.5
0.5260000E-04 0.2000000E+01 0.7500752E+00 0.7196946E+00 0.3297307E-01 0.2828411E-01 0.4995909E-01 0.3963 0.7632 1.2487 -1.6012 2.0565 -0.4372 1.5351 -0.3352 0.5
0.5800000E-04 0.2500000E+01 0.8503008E+00 0.7796085E+00 0.3253312E-01 0.3243182E-01 0.5658685E-01 1.0876 2.0944 1.2833 -1.8947 1.8964 -0.8912 1.6297 -0.3342 0.5
0.6580000E-04 0.2500000E+01 0.7495053E+00 0.7699264E+00 0.2029843E-01 0.2332890E-01 0.3932033E-01 0.3410 0.6567 1.1385 -1.6653 2.0753 -0.8401 0.4558 -0.3355 0.5
0.7590000E-04 0.2500000E+01 0.6497687E+00 0.7140705E+00 0.3078370E-01 0.2463556E-01 0.4594322E-01 0.1843 0.3550 1.1893 -1.4908 2.1330 0.0968 1.5619 -0.3363 0.5
0.8120000E-04 0.3500000E+01 0.8503008E+00 0.7963514E+00 0.3348392E-01 0.3225243E-01 0.5581800E-01 1.0738 2.0678 1.3210 -1.6848 1.9875 -0.9433 0.2866 -0.3355 0.5
0.9210000E-04 0.3500000E+01 0.7496680E+00 0.8223948E+00 0.1823160E-01 0.2352059E-01 0.4073267E-01 0.2903 0.5591 1.1944 -1.5734 2.1018 -1.1870 1.0954 -0.3341 0.5
0.1062000E-03 0.3500000E+01 0.6501358E+00 0.8598294E+00 0.1742410E-01 0.2123786E-01 0.3967033E-01 0.1198 0.2307 1.1411 -1.5660 2.1231 -0.6448 1.4905 -0.3348 0.5
0.1409000E-03 0.3500000E+01 0.4900243E+00 0.8002563E+00 0.2035890E-01 0.1960640E-01 0.4246006E-01 1.7306 -0.8987 1.1193 -1.4779 2.1657 0.5117 1.8363 -0.3368 0.5
0.1160000E-03 0.5000000E+01 0.8503008E+00 0.9419414E+00 0.3941540E-01 0.3777200E-01 0.6746309E-01 1.0969 2.1122 1.2406 -1.7297 2.0045 -1.4241 1.1633 -0.3336 0.5
0.1315000E-03 0.5000000E+01 0.7500752E+00 0.9266508E+00 0.1915717E-01 0.2594636E-01 0.4406272E-01 0.2489 0.4792 1.1731 -1.5964 2.0990 -1.1637 0.6393 -0.3346 0.5
0.1517000E-03 0.5000000E+01 0.6501970E+00 0.9697144E+00 0.1636070E-01 0.2259446E-01 0.4064353E-01 0.0968 0.1864 1.1552 -1.4997 2.1481 -0.3922 0.8846 -0.3360 0.5
0.2013000E-03 0.5000000E+01 0.4899895E+00 0.9170099E+00 0.1061767E-01 0.1714820E-01 0.3414002E-01 0.3550 -0.1843 1.0992 -1.4206 2.2080 0.0630 0.8023 -0.3370 0.5
0.1509000E-03 0.6500000E+01 0.8497373E+00 0.1036872E+01 0.4412033E-01 0.4168250E-01 0.7418901E-01 1.2029 2.3163 1.2499 -1.6918 2.0174 -1.2055 0.2375 -0.3350 0.5
0.1710000E-03 0.6500000E+01 0.7498559E+00 0.9604467E+00 0.2062378E-01 0.2689266E-01 0.4547841E-01 0.2350 0.4526 1.2009 -1.6556 2.0552 -1.0309 0.3575 -0.3352 0.5
0.1973000E-03 0.6500000E+01 0.6499004E+00 0.1009671E+01 0.1613236E-01 0.2322257E-01 0.4123770E-01 0.0783 0.1509 1.1223 -1.4685 2.1810 -0.6686 0.2768 -0.3360 0.5
