After minimisation    1363.29  1131     1.205

  Partial chi2s 
Dataset    1    442.43( +7.94)   377  HERA1+2 NCep 920                                
Dataset    2     66.16( +0.02)    70  HERA1+2 NCep 820                                
Dataset    3    219.14( +1.06)   254  HERA1+2 NCep 575                                
Dataset    4    217.78( -0.88)   204  HERA1+2 NCep 460                                
Dataset    5    219.26( -0.22)   159  HERA1+2 NCem                                    
Dataset    6     44.93( +0.38)    39  HERA1+2 CCep                                    
Dataset    7     56.03( -2.14)    42  HERA1+2 CCem                                    

 Correlated Chi2    91.401550732036625     
 Log penalty Chi2    6.1575075517719853     
 Systematic shifts          170
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3180   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5146   +/-   0.9365        :N:M:D
    3  sysHZComb1003                          1.2853   +/-   0.5602        :N:M:D
    4  sysHZComb1004                          0.2386   +/-   0.6303        :N:M:D
    5  sysHZComb1005                          0.9980   +/-   0.6171        :N:M:D
    6  sysHZComb1006                         -0.9758   +/-   0.7960        :N:M:D
    7  sysHZComb1007                          0.1273   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0634   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0130   +/-   0.8995        :N:M:D
   10  sysHZComb1010                         -0.3731   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.8121   +/-   0.9663        :N:M:D
   12  sysHZComb1012                          0.4404   +/-   0.9726        :N:M:D
   13  sysHZComb1013                         -0.6319   +/-   0.9622        :N:M:D
   14  sysHZComb1014                         -0.0438   +/-   0.9876        :N:M:D
   15  sysHZComb1015                         -0.0982   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.0842   +/-   0.9749        :N:M:D
   17  sysHZComb1017                         -0.3073   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.2081   +/-   0.8233        :N:M:D
   19  sysHZComb1019                         -0.3609   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3574   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0888   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.1710   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.1272   +/-   0.9458        :N:M:D
   24  sysHZComb1024                          0.0685   +/-   0.9880        :N:M:D
   25  sysHZComb1025                          0.1338   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8817   +/-   0.9201        :N:M:D
   27  sysHZComb1027                         -1.0773   +/-   0.9549        :N:M:D
   28  sysHZComb1028                          0.8043   +/-   0.9752        :N:M:D
   29  sysHZComb1029                         -0.5919   +/-   0.9188        :N:M:D
   30  sysHZComb1030                         -0.3151   +/-   0.9447        :N:M:D
   31  sysHZComb1031                         -0.6653   +/-   0.8403        :N:M:D
   32  sysHZComb1032                          0.6497   +/-   0.9644        :N:M:D
   33  sysHZComb1033                          0.7498   +/-   0.9709        :N:M:D
   34  sysHZComb1034                         -0.4364   +/-   0.9841        :N:M:D
   35  sysHZComb1035                          0.0175   +/-   0.9788        :N:M:D
   36  sysHZComb1036                         -0.4207   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.5048   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.5742   +/-   0.9135        :N:M:D
   39  sysHZComb1039                         -0.4673   +/-   0.9543        :N:M:D
   40  sysHZComb1040                         -0.1846   +/-   0.9311        :N:M:D
   41  sysHZComb1041                         -0.6096   +/-   0.8122        :N:M:D
   42  sysHZComb1042                         -0.1459   +/-   0.8745        :N:M:D
   43  sysHZComb1043                          0.0324   +/-   0.9152        :N:M:D
   44  sysHZComb1044                         -0.0394   +/-   0.9369        :N:M:D
   45  sysHZComb1045                         -0.4465   +/-   0.9347        :N:M:D
   46  sysHZComb1046                         -0.2420   +/-   0.9586        :N:M:D
   47  sysHZComb1047                          0.2609   +/-   0.9471        :N:M:D
   48  sysHZComb1048                         -0.0235   +/-   0.9610        :N:M:D
   49  sysHZComb1049                         -0.5106   +/-   0.9457        :N:M:D
   50  sysHZComb1050                          0.3837   +/-   0.9430        :N:M:D
   51  sysHZComb1051                          0.3500   +/-   0.9530        :N:M:D
   52  sysHZComb1052                          0.8344   +/-   0.9535        :N:M:D
   53  sysHZComb1053                         -2.6722   +/-   0.9191        :N:M:D
   54  sysHZComb1054                         -0.0076   +/-   0.9750        :N:M:D
   55  sysHZComb1055                         -1.5602   +/-   0.9071        :N:M:D
   56  sysHZComb1056                         -1.4417   +/-   0.8955        :N:M:D
   57  sysHZComb1057                          0.0671   +/-   0.9196        :N:M:D
   58  sysHZComb1058                          0.0886   +/-   0.9435        :N:M:D
   59  sysHZComb1059                         -1.0598   +/-   0.8705        :N:M:D
   60  sysHZComb1060                          0.1592   +/-   0.9792        :N:M:D
   61  sysHZComb1061                          0.1557   +/-   0.9831        :N:M:D
   62  sysHZComb1062                         -1.3273   +/-   0.8968        :N:M:D
   63  sysHZComb1063                          0.4855   +/-   0.8364        :N:M:D
   64  sysHZComb1064                          0.7061   +/-   0.9294        :N:M:D
   65  sysHZComb1065                         -0.8819   +/-   0.9468        :N:M:D
   66  sysHZComb1066                         -0.7213   +/-   0.9326        :N:M:D
   67  sysHZComb1067                         -0.1670   +/-   0.9640        :N:M:D
   68  sysHZComb1068                         -0.4865   +/-   0.9202        :N:M:D
   69  sysHZComb1069                         -0.1718   +/-   0.9145        :N:M:D
   70  sysHZComb1070                          0.3271   +/-   0.9074        :N:M:D
   71  sysHZComb1071                         -1.2085   +/-   0.8574        :N:M:D
   72  sysHZComb1072                         -0.0695   +/-   0.9705        :N:M:D
   73  sysHZComb1073                          0.1016   +/-   0.9037        :N:M:D
