After minimisation    4098.03  1131     3.623

  Partial chi2s 
Dataset    1    704.02(+16.80)   377  HERA1+2 NCep 920                                
Dataset    2     61.06( +0.02)    70  HERA1+2 NCep 820                                
Dataset    3    224.02( +1.06)   254  HERA1+2 NCep 575                                
Dataset    4    231.30( -0.88)   204  HERA1+2 NCep 460                                
Dataset    5    247.28( -0.22)   159  HERA1+2 NCem                                    
Dataset    6   1926.20(+35.79)    39  HERA1+2 CCep                                    
Dataset    7     66.44( -2.14)    42  HERA1+2 CCem                                    

 Correlated Chi2    587.27925587097366     
 Log penalty Chi2    50.428170333696066     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3610   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -1.1085   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          2.4259   +/-   0.5565        :N:M:D
    4  sysHZComb1004                         -0.7111   +/-   0.6187        :N:M:D
    5  sysHZComb1005                          2.1380   +/-   0.6089        :N:M:D
    6  sysHZComb1006                         -2.6033   +/-   0.7877        :N:M:D
    7  sysHZComb1007                          0.1932   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0141   +/-   0.9983        :N:M:D
    9  sysHZComb1009                         -0.0265   +/-   0.8995        :N:M:D
   10  sysHZComb1010                         -0.2518   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -1.4977   +/-   0.9661        :N:M:D
   12  sysHZComb1012                          0.4396   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -1.1328   +/-   0.9619        :N:M:D
   14  sysHZComb1014                          0.0454   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0848   +/-   0.9633        :N:M:D
   16  sysHZComb1016                          0.1321   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.0127   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          1.3030   +/-   0.8224        :N:M:D
   19  sysHZComb1019                          0.6956   +/-   0.9835        :N:M:D
   20  sysHZComb1020                         -1.1513   +/-   0.9813        :N:M:D
   21  sysHZComb1021                         -0.0209   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.4915   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.8722   +/-   0.9451        :N:M:D
   24  sysHZComb1024                         -3.9977   +/-   0.9848        :N:M:D
   25  sysHZComb1025                          0.2061   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -1.0888   +/-   0.9200        :N:M:D
   27  sysHZComb1027                         -1.5563   +/-   0.9543        :N:M:D
   28  sysHZComb1028                          1.1167   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.2349   +/-   0.9179        :N:M:D
   30  sysHZComb1030                         -1.9636   +/-   0.9432        :N:M:D
   31  sysHZComb1031                         -0.3538   +/-   0.8384        :N:M:D
   32  sysHZComb1032                          0.3964   +/-   0.9642        :N:M:D
   33  sysHZComb1033                         -1.5136   +/-   0.9695        :N:M:D
